name,max_thickness,max_camber,leading_edge_radius,trailing_edge_angle,thickness_to_chord_ratio
goe114,0.09528264153482507,0.034938531323322246,0.006268600795277253,0.00012752035787702445,0.09528264153482507
goe10k,0.03849019341750004,0.014215001723887316,0.005385595949485502,11.480803565681393,0.03849019341750004
goe115,0.09700278155455337,0.03729229685469779,0.007714319903269906,0.0001773318662189599,0.09700278155455337
goe113,0.06645289542852031,0.03087909623961027,0.006353979232082203,8.756650722787722,0.06645289542852031
goe117,0.08983910489648562,0.04564981443347184,0.007094530390386677,0.0007094786420672219,0.08983910489648562
goe116,0.09323027263788326,0.0407538867733381,0.006917437033943415,10.837596466531815,0.09323027263788326
goe118,0.08634572929588993,0.05720886394002902,0.0065219673127647594,9.923520381618067,0.08634572929588993
goe11k,0.07448029500641612,0.02740166258482002,0.0060639761725635975,21.628329481690304,0.07448029500641612
goe121,0.0663223427400038,0.04593674844258927,0.00882298446538442,8.493409750573834,0.0663223427400038
goe122,0.07301512938344548,0.04059823540026247,0.007987463945910612,8.017511332946846,0.07301512938344548
goe124,0.07918765880348301,0.05548223924118706,0.0102930649126265,10.539066924589118,0.07918765880348301
goe123,0.054000286726087296,0.056942637455972174,0.007758238837409982,7.878623047151688,0.054000286726087296
goe12k,0.11096693912857504,0.040827052804326885,0.00733850089839839,31.244434027795673,0.11096693912857504
goe133,0.07888452595171151,0.043185205107035,0.008692390613110277,9.034335582701328,0.07888452595171151
goe137,0.08580184234145423,0.04420295801566425,0.007718943781600931,10.223147271587559,0.08580184234145423
goe134,0.09442267148019788,0.04101108594004562,0.008131187581522011,37.56136125356867,0.09442267148019788
goe14,0.09896125986251302,0.06916511224637108,0.01554395487167422,10.721729680054768,0.09896125986251302
goe13k,0.14795447034494563,0.05452036731301307,0.01132509913202692,40.11898080568788,0.14795447034494563
goe140,0.08770486801235347,0.052835762718899656,0.0089333405966403,11.27964369264543,0.08770486801235347
goe144,0.07303338985004112,0.04714821058654647,0.007972651237932301,0.0009646139627607252,0.07303338985004112
goe142,0.06160932198866516,0.038456306083407166,0.009811339933176745,7.583224288843047,0.06160932198866516
goe15,0.08987503831775662,0.07743388734106071,0.01331600654571005,0.0002214857374853869,0.08987503831775662
goe143,0.07441143466095608,0.03785289236840146,0.009578304425965621,7.480574290529487,0.07441143466095608
goe147,0.07541427153262167,0.03755706440511308,0.008589481824437821,5.697082817760432,0.07541427153262167
goe14k,0.11991560895721926,0.02698381648596813,0.007143064849102322,39.3259252690297,0.11991560895721926
goe155,0.07010166325808935,0.052766369377093204,0.007366816504855299,8.55642511555132,0.07010166325808935
goe15k,0.14989073248169774,0.03373158974530549,0.008454306396316731,47.9940469583068,0.14989073248169774
goe164,0.08861767542506606,0.06629977738314784,0.00868590244382405,12.533685777324363,0.08861767542506606
goe167,0.10079593918678977,0.04534907452947443,0.009063626862986774,34.84021444265047,0.10079593918678977
goe165,0.12111617724554193,0.057309705489438395,0.008434229080308704,12.282245844979784,0.12111617724554193
goe173,0.07759194993691997,0.05903725,0.007797734290022173,10.319294470854215,0.07759194993691997
goe16k,0.18136889373491344,0.04082639800017466,0.011333515814826745,56.48018028062761,0.18136889373491344
goe174,0.08579507238894288,0.05563370317848411,0.009105625679175723,14.791770267838087,0.08579507238894288
goe176,0.10308761145490143,0.05547376804307962,0.008914017965744645,11.614379801701336,0.10308761145490143
goe177,0.07692271890741409,0.05054927388191234,0.006961001860070581,7.895704473135357,0.07692271890741409
goe178,0.08493374998054198,0.04400021429421921,0.00857286385913511,6.79534834901839,0.08493374998054198
goe180,0.0865524410972112,0.04442684761967102,0.008926920249620461,13.664428504802775,0.0865524410972112
goe182,0.09429234894795571,0.052564007648580074,0.011389377829569522,8.651431987137649,0.09429234894795571
goe190,0.12668401991700715,0.05915114105145909,0.012908914101700295,0.0017421196338555135,0.12668401991700715
goe187,0.08268833989577301,0.04833821183169272,0.006629017012322624,11.28824996441282,0.08268833989577301
goe184,0.08291032389126057,0.052782228528633984,0.01028408255733933,8.19623330027042,0.08291032389126057
goe188,0.08934517085561497,0.04390634153297683,0.006558085941017398,11.367984920209327,0.08934517085561497
goe195,0.08591182892743804,0.05099016101921619,0.010304967943459907,8.912189939077738,0.08591182892743804
goe198,0.07762481308958558,0.06509479836240153,0.012309874320790578,30.113580946165456,0.07762481308958558
goe199,0.07326265018477457,0.05181071959349594,0.009568374492992306,43.50699401844425,0.07326265018477457
goe207,0.087699214732025,0.06613370044331404,0.012770583368925916,20.73535103597527,0.087699214732025
goe217,0.18974464878155567,0.06321181977480396,0.01986165553996694,18.065875079238467,0.18974464878155567
goe210,0.06627784794824786,0.04337148029761608,0.0077135346048653524,8.888672792418639,0.06627784794824786
goe223,0.18815118804721873,0.05699938441010905,0.013745477865669504,12.183329056590562,0.18815118804721873
goe222,0.18531183207876306,0.0717205865525545,0.015411720931164219,15.071599128738184,0.18531183207876306
goe225,0.1283082536553602,0.07620476202332972,0.014326447862600811,18.976957900681626,0.1283082536553602
goe226,0.1388878100002024,0.0807429064735516,0.014945871038789159,8.470803664887828,0.1388878100002024
goe227,0.14589159064312252,0.07831344272579056,0.014365832287101131,7.977173992757818,0.14589159064312252
goe228,0.17877985915522546,0.07002657381942423,0.014878919197718133,11.980533815721493,0.17877985915522546
goe229,0.19345366585455304,0.05912396439687573,0.013046668713292919,14.625495334156444,0.19345366585455304
goe233,0.11614796383384755,0.08192832537128586,0.012619251335544283,5.132211368367324,0.11614796383384755
goe234,0.1425619045485579,0.09146143469104756,0.0139226989139263,18.536848513484447,0.1425619045485579
goe235,0.06541964539798774,0.0353698808092969,0.012553124877391726,6.929449302081272,0.06541964539798774
goe238,0.09787037569935689,0.05505881401375827,0.012737907722026202,10.855420204436498,0.09787037569935689
